"Title","Canadian Total Exports"
"Industries","NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"","NAICS 3342 - Communications Equipment Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Jordan","3723112","1020929","1612616","1973150","2959278","1863541","2071169","2007256","1736663","5273343"
"Trinidad and Tobago","5108046","4139559","1507704","1173888","1012151","808628","699714","853796","2589341","5270467"
"Finland","19326637","9666557","8864593","8302371","7359414","12938924","7588500","13899618","4926590","4994301"
"Greece","7407608","5191984","1539870","3851393","1678228","3760404","1581235","1794899","1678924","4433525"
"Qatar","2043223","2175319","1991932","1960637","3822043","6112528","6400426","9278184","8030681","4423530"
"Oman (formerly Muscat and Oman)","713887","774780","890623","1461325","4259567","5442981","2248344","3688026","4722067","3854148"
"Panama","3096452","4782939","2707793","2450082","2109439","1524678","1675080","3433832","2506038","3589962"
"Bulgaria","1851554","1161706","950809","2008635","1372447","1210844","1440413","2093948","4241749","3413236"
"Lithuania","7390884","3562114","4636553","3957368","2172102","2813199","3183056","3867970","4023478","3325925"
"Egypt","4539667","2362378","2688000","2346467","1451774","3193256","1953837","5556713","4789659","3298566"
"Romania","6779051","6272476","3569350","4534938","3912869","5038864","3336309","3916211","2723345","3213506"
"Cyprus","1186753","299849","133487","230216","1141475","447567","1237738","627245","1328355","2949507"
"Philippines","9473221","4800417","1619460","1691131","1802784","7020417","2973963","3066200","3169409","2898159"
"Estonia","5260303","1149381","783590","1182909","1105930","1331472","2729074","1871057","1999233","2892490"
"Pakistan","7592325","6892207","2192111","6852833","1091265","3282848","1485002","2650959","3040106","2423597"
"Kuwait","1670941","1708192","1665975","3939944","6956664","4981803","4017783","5950666","5536554","2094740"
"Denmark","8836919","8002667","7644482","20344453","6755942","4048303","4498015","3624401","2436626","2091400"
"Ireland","17740377","13728671","12781245","13668530","8919686","3892956","2714117","3703408","1931962","2035751"
"Congo (formerly Brazzaville)","114288","49315","199998","151947","245199","426412","140590","74108","453728","1864992"
"Lebanon","792088","1465004","1591861","992292","1586331","1765255","3924226","1049581","1580111","1664637"
"Serbia","482503","1016936","478224","374799","572992","2041358","1217080","1675748","891288","1539024"
"Portugal","14994411","6371950","3078041","2040466","1435379","1886304","1172229","1228357","1707303","1526683"
"Algeria","14658850","10436773","2808893","626923","1969767","2333101","1030123","1014567","1007787","1447404"
"Bahrain","1336912","1200110","881489","1477110","694925","861053","535671","1899841","2780796","1422978"
"Morocco","659740","990897","871584","401637","761138","1037637","903924","1023088","2141593","1409601"
"Iraq","4358892","3695922","1677719","2302837","1788085","1644738","1304522","1215459","590063","1240561"
"Iceland","2062430","1327357","1133309","650282","635898","407443","424286","387733","670555","1141359"
"Ecuador","3306478","1733530","297430","492524","2927852","1453669","1773231","1534429","585499","1116344"
"Myanmar (Burma)","","","","","","","222858","534656","156709","1066917"
"Croatia","799002","1820491","2579700","455686","817232","1409424","1534033","1487308","794668","1062816"
"El Salvador","450199","1038112","1633517","190527","359079","229569","208621","221724","367114","1040554"
"Bermuda","1634736","1888214","977948","926218","603069","251894","395833","1751818","277232","983902"
"Kazakhstan","1029340","579551","413356","568723","4300509","1240205","1010054","1313258","516985","912113"
"Honduras","526805","503286","128599","736417","150618","464267","664745","850576","632337","859513"
"Jamaica","8034894","477322","418481","363541","691554","549731","400432","274002","614134","845403"
"Bangladesh","1135907","62917","7886","288071","459951","2174171","1217784","355895","407885","814925"
"Costa Rica","1686328","1687587","422623","403597","656642","590523","563460","1462548","1138857","807330"
"Uruguay","2875004","1760243","769253","143310","233738","715838","461453","1191498","725380","764536"
"Dominican Republic","2953008","696570","863281","471534","370432","2068142","22703592","41224015","887251","743146"
"Brunei Darussalam","106171","216471","57881","65371","55021","144528","97631","55673","76165","703519"
"Bolivia","800515","117423","279252","142256","208403","331048","1046781","2071728","1137379","680584"
"Bosnia-Hercegovina","157109","113357","191351","205454","76042","102048","250387","556799","702638","653937"
"Kenya","1047451","552026","408766","213024","913223","820144","763972","262244","357419","649979"
"Ukraine","1357331","554088","262140","183602","4000491","5183098","611909","575909","834590","629355"
"Latvia","1902930","544097","114341","217147","1385219","587540","331840","2500242","1894587","551219"
"Slovenia","1395310","359610","289666","112255","92555","136381","422799","547976","295188","537866"
"Congo (formerly Zaire)","160553","784386","8710","15497","52146","93253","447728","69168","54130","516618"
"Bahamas","2547741","2020644","565125","214394","162833","126902","339855","213463","504182","492888"
