"Title","Canadian Total Exports"
"Industries","NAICS 3343 - Audio and Video Equipment Manufacturing"
"","NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Algeria","142159","95884","403395","203802","168718","983225","38595","329737","43925","17695"
"Croatia","62530","204290","259801","37898","24036","28310","19532","40388","16687","17477"
"Curacao","","","","","","","","67159","4774","17416"
"Mozambique","3429","40140","16367","2367","10153","12259","4397","68","","15861"
"Mali","1740","57979","33238","851","261588","375453","2631","89567","13085","13277"
"Sint Maarten","","","","","","","","8014","24288","12811"
"Iran","142835","94813","188383","194614","78408","9035","20","1414","82","12320"
"Bolivia","45276","27913","12924","8771","45629","72081","37732","37365","34067","11705"
"Azerbaijan","66874","46539","26227","7920","32300","5380","54873","13650","38574","11522"
"Tunisia","153133","41536","636876","136175","332978","108666","58606","133801","25717","11174"
"Guyana","100588","24981","11393","34360","56434","7170","2092","26643","1058","10045"
"Zambia (Zambi)","4722","59688","6016","16691","110577","17652","14004","85355","55436","9552"
"Papua New Guinea","","26785","5300","900","5369","73484","48084","36301","2619","9533"
"Belize","12373","6555","6095","3077","7797","21655","33522","334","16834","9477"
"Guinea","68215","10756","34402","48651","134814","35136","25145","110213","19569","9100"
"Gabon","45676","159571","112892","619","4725","1427176","79103","9993","4561","9024"
"Cayman Islands","95029","12002","69675","4311","9661","33944","82781","9664","22534","8278"
"Brunei Darussalam","6601","18836","11284","49892","14423","6463","4045","78799","863","7849"
"Malawi","57688","62370","2598","3848","700","249","3354","","","7606"
"Bahrain","44236","28749","27859","26075","20799","77601","45993","242065","96665","7067"
"Saint Vincent and the Grenadines","99366","19575","4137","1728","","7820","25825","27375","1946","7039"
"Senegal","3649","15824","13267","7906","20310","691","10235","83872","2300","6871"
"Congo (formerly Brazzaville)","1193","13558","18518","2058","14972","10774","1320","27841","24041","6861"
"Antartica","","","150","2442","","74","","562","","6665"
"Georgia","134583","33915","39579","26012","66425","38507","2015","48063","37215","6610"
"Venezuela","1496695","1334977","1953829","865385","284885","236059","29594","86286","191995","6546"
"Mauritania","15263","26218","17262","2353","5694","105326","228654","42531","10800","5862"
